Statistics,Machine Learning,Deep Learning,R language,Python Language,NLP,Data Engineering,Other Softwares and skills
statistical models,linear regression,neural network,R language,python,natural language processing,aws,matlab
statistical modeling,logistic regression,keras,ggplot,flask,topic modelling,ec2,photoshop
probability,K means,theano,shiny,django,lda,amazon redshift,c#
normal distribution,random forest,face detection,cran,pandas,named entity recognition,s3,c++
poisson distribution,xgboost,neural networks,dplyr,numpy,pos tagging,docker,java
survival models,svm,convolutional neural network,tidyr,scikitlearn,word2vec,kubernetes,octave
hypothesis testing,naïve bayes,CNN,lubridate,sklearn,word embedding,scala,jira
bayesian inference,pca,recurrent neural network,knitr,matplotlib,lsi,teradata,perl
factor analysis,decision trees,object detection,,scipy ,spacy,google big query,ubuntu
forecasting,svd,yolo,,bokeh,gensim,aws lambda,spark
markov chain,ensemble models,gpu,,statsmodel,nltk,hive,sas
monte carlo,boltzman machine,cuda,,scrapy,nmf,hadoop,solaris
statistics,machine learning,tensorflow,,scikit-learn,doc2vec,sql,salesforce
,,lstm,,pygame,cbow,nosql,tableau
,,gan,,pymongo,bag of words,pl/sql,unix
,,opencv,,lxml,bag-of-words,json,jsp
,,deep learning,,beautifulsoup,skip gram,postgresql,agile
,,,,pytorch,bert,microsoft sql,html5
,,,,openpyxl,sentiment analysis,mysql,html5
,,,,bottle,chat bot,,css
,,,,jupyter,nlp,,javascript
,,,,scipy ,,,github
,,,,pyspark,,,git
,,,,seaborn,,,sap
,,,,tkinter,,,
,,,,pyqt,,,
,,,,anaconda,,,